id,cname,continent
941,Marion-South,Australia
942,MidMurray,Australia
943,Mitcham-West,Australia
944,Mitcham-Hills,Australia
945,Mitcham-North-East,Australia
946,MountBarker-Central,Australia
947,MountBarkerBal,Australia
948,MountGambier,Australia
949,MountRemarkable(DC),Australia
950,MurrayBridge,Australia
951,NaracoorteLucindale,Australia
952,NorthernAreas,Australia
953,Norw.P'hamStPtrs-East,Australia
954,Norw.P'hamStPtrs-West,Australia
955,Onkaparinga-Hackham,Australia
956,Onkaparinga-Hills,Australia
957,Onkaparinga-Morphett,Australia
958,Onkaparinga-NorthCoast,Australia
959,Onkaparinga-Reservoir,Australia
960,Onkaparinga-SouthCoast,Australia
961,Onkaparinga-Woodcroft,Australia
962,Orroroo/Carrieton,Australia
963,Peterborough,Australia
964,Playford-EastCentral,Australia
965,Playford-Elizabeth,Australia
966,Playford-Hills,Australia
967,Playford-West,Australia
968,Playford-WestCentral,Australia
969,PortAdel.Enfield-Coast,Australia
970,PortAdel.Enfield-East,Australia
971,PortAdel.Enfield-Inner,Australia
972,PortAdel.Enfield-Park,Australia
973,PortAdel.Enfield-Port,Australia
974,PortAugusta,Australia
975,PortLincoln,Australia
976,PortPirieCDists-City,Australia
977,PortPirieCDistsBal,Australia
978,Prospect,Australia
979,RenmarkParinga-Paringa,Australia
980,RenmarkParinga-Renmark,Australia
981,Robe,Australia
982,RoxbyDowns,Australia
983,Salisbury-Central,Australia
984,Salisbury-InnerNorth,Australia
985,Salisbury-North-East,Australia
986,Salisbury-South-East,Australia
987,SalisburyBal,Australia
988,SouthernMallee,Australia
989,StreakyBay,Australia
990,Tatiara,Australia
991,TeaTreeGully-Hills,Australia
992,TeaTreeGully-Central,Australia
993,Kwinana,Australia
994,LakeGrace,Australia
995,Laverton,Australia
996,Leonora,Australia
997,Mandurah,Australia
998,Manjimup,Australia
999,Meekatharra,Australia
1000,Melville,Australia
1001,Menzies,Australia
1002,Merredin,Australia
1003,Mingenew,Australia
1004,Moora,Australia
1005,Morawa,Australia
1006,Ngaanyatjarraku,Australia
1007,Northam,Australia
1008,Northampton,Australia
1009,Nungarin,Australia
1010,PeppermintGrove,Australia
1011,SharkBay,Australia
1012,SouthPerth,Australia
1013,Stirling,Australia
1014,Subiaco,Australia
1015,Swan,Australia
1016,Tambellup,Australia
1017,Tammin,Australia
1018,ThreeSprings,Australia
1019,TeaTreeGully-North,Australia
1020,TeaTreeGully-South,Australia
1021,TheCoorong,Australia
1022,TumbyBay,Australia
1023,Unincorp.FarNorth,Australia
1024,Unincorp.FlindersRanges,Australia
1025,Unincorp.Lincoln,Australia
